city_id,city_name,hotel_id,hotel_name,hotel_latitude,hotel_longitude,hotel_country_code,hotel_source,chain_code,dupe_id,hotel_overall_rating,hotel_sentiment_scores,hotel_price_eur,hotel_currency,distance_to_city_center_km,osm_type,osm_raw_id,osm_tags,collected_at,rating_for_score,distance_for_score,hotel_score,hotel_rank
city_colmar,Colmar,osm_relation_377117,La Maison des têtes,48.0784638,7.3556143,FR,OpenStreetMap,,,5.0,,,EUR,0.192,relation,377117,"{'amenity': 'restaurant', 'building': 'yes', 'cuisine': 'french', 'heritage': '2', 'heritage:operator': 'mhs', 'mhs:inscription_date': '1898-12-06', 'name': 'La Maison des têtes', 'ref:mhs': 'PA00085380', 'source:heritage': 'Ministère de la Culture - 07/2018', 'stars': '5', 'tourism': 'hotel', 'type': 'multipolygon', 'wikidata': 'Q3279905'}",2026-04-02T07:38:11.917576+00:00,5.0,0.192,49.616,1
city_amiens,Amiens,osm_node_3910230289,Hôtel Marotte,49.891069,2.301193,FR,OpenStreetMap,,,5.0,,,EUR,0.524,node,3910230289,"{'check_date': '2025-08-05', 'contact:city': 'Amiens', 'contact:housenumber': '3', 'contact:postcode': '80000', 'contact:street': 'Rue Marotte', 'contact:website': 'https://www.hotel-marotte.com/', 'name': 'Hôtel Marotte', 'ref:FR:SIRET': '51535052800011', 'rooms': '12', 'source': 'cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015', 'stars': '5', 'tourism': 'hotel'}",2026-04-02T07:37:11.468874+00:00,5.0,0.524,48.952,1
city_avignon,Avignon,osm_way_83762654,Hôtel de l'Horloge,43.9488541,4.8054955,FR,OpenStreetMap,,,4.0,,,EUR,0.055,way,83762654,"{'addr:postcode': '84000', 'building': 'hotel', 'building:levels': '4', 'check_date': '2025-08-10', 'city': 'Avignon', 'contact:email': 'hotel-horloge@hotels-ocre-azur.com', 'contact:fax': '+33 4 90 82 17 32', 'contact:phone': '+33 4 90 16 42 00', 'contact:website': 'https://www.hotel-avignon-horloge.com', 'description:fr': ""Ancienne bâtisse en pierre de taille du XIXème siècle ouvrant ses portes directement sur la Place de l'Horloge."", 'ele': '21', 'internet_access': 'wlan', 'name': ""Hôtel de l'Horloge"", 'note': ""L'hôtel est sur 2 bâtiments (le 2e est à l'ouest) et la jonction se fait par la passerelle au NO."", 'opening_day': ""Toute l'année."", 'operator': 'Exclusive Hotels', 'ref:FR:SIRET': '55262114600018', 'ref:INSEE:city': '84007', 'roof:levels': '0', 'rooms': '66', 'short_name': 'SPH', 'source:building': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'source:modif': 'Apidae (2017-11-21), in Opendata PACA', 'stars': '4', 'start_date': '1955-01-01', 'tourism': 'hotel', 'website': 'https://www.hotel-avignon-horloge.com'}",2026-04-02T07:41:04.097287+00:00,4.0,0.055,39.89,1
city_avignon,Avignon,osm_way_83766041,Hôtel Mercure Avignon Centre Palais des Papes,43.9499373,4.8065571,FR,OpenStreetMap,Mercure,,4.0,,,EUR,0.093,way,83766041,"{'addr:city': 'Avignon', 'addr:housenumber': '1', 'addr:postcode': '84000', 'addr:street': 'Rue Jean Vilar', 'brand': 'Mercure', 'brand:wikidata': 'Q1709809', 'brand:wikipedia': 'fr:Mercure (hôtels)', 'building': 'yes', 'contact:email': 'H1952@accor.com', 'contact:fax': '+33 4 90 80 93 01', 'contact:phone': '+33 4 90 80 93 00', 'description': ""Au pied du Palais des Papes, à deux pas du célèbre Pont d'Avignon et de la place de l'Horloge, cœur animé de la vieille ville avec son théâtre et ses cafés."", 'description:FR': ""Au pied du Palais des Papes, à deux pas du célèbre Pont d'Avignon et de la place de l'Horloge, cœur animé de la vieille ville avec son théâtre et ses cafés."", 'ele': '21', 'internet_access': 'wlan', 'name': 'Hôtel Mercure Avignon Centre Palais des Papes', 'operator': 'Accor|Mercure Hotels', 'ref:FR:SIRET': '31850656500023', 'ref:INSEE:city': '84007', 'smoking': 'outside', 'source:building': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'source:modif': 'Apidae (2017-11-21), in Opendata PACA', 'stars': '4', 'start_date': '1999-10-29', 'survey:date': '2020-08-05', 'tourism': 'hotel', 'website': 'http://www.mercure.com/fr/hotel-1952-hotel-mercure-avignon-centre-palais-des-papes/location.shtml', 'wikidata': 'Q111391167'}",2026-04-02T07:41:04.097287+00:00,4.0,0.093,39.814,2
city_saint_malo,Saint-Malo,osm_way_53820574,Le Grand Bé,48.6498415,-2.0272094,FR,OpenStreetMap,Golden Tulip,,4.0,,,EUR,0.093,way,53820574,"{'brand': 'Golden Tulip', 'building': 'yes', 'name': 'Le Grand Bé', 'ref:FR:SIRET': '82259872800019', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010', 'stars': '4', 'tourism': 'hotel'}",2026-04-02T07:35:40.511566+00:00,4.0,0.093,39.814,1
city_toulouse,Toulouse,osm_node_247081415,Grand Hôtel de l'Opéra,43.6035313,1.4440139,FR,OpenStreetMap,,,4.0,,,EUR,0.105,node,247081415,"{'check_date': '2026-02-16', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'name': ""Grand Hôtel de l'Opéra"", 'phone': '+33561218266', 'stars': '4', 'tourism': 'hotel', 'website': 'https://www.grand-hotel-opera.com/'}",2026-04-02T07:42:46.484651+00:00,4.0,0.105,39.79,1
city_rouen,Rouen,osm_node_5503743755,Mercure,49.4411955,1.0950959,FR,OpenStreetMap,Mercure,,4.0,,,EUR,0.116,node,5503743755,"{'addr:housenumber': '7', 'brand': 'Mercure', 'brand:wikidata': 'Q1709809', 'brand:wikipedia': 'en:Mercure (hotel)', 'email': 'h1301@accor.com', 'internet_access': 'yes', 'internet_access:fee': 'no', 'loc_name': 'Mercure Rouen Centre Cathédrale', 'name': 'Mercure', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'phone': '+33 2 35 52 69 52', 'ref:FR:SIRET': '40206971000661', 'rooms': '125', 'smoking': 'no', 'stars': '4', 'toilets:wheelchair': 'yes', 'tourism': 'hotel', 'website': 'https://www.accorhotels.com/', 'wheelchair': 'yes', 'wikidata': 'Q111391152'}",2026-04-02T07:36:36.983828+00:00,4.0,0.116,39.768,1
city_toulouse,Toulouse,osm_node_456388419,Crowne Plaza,43.6037044,1.4427701,FR,OpenStreetMap,Crowne Plaza,,4.0,,,EUR,0.146,node,456388419,"{'brand': 'Crowne Plaza', 'brand:wikidata': 'Q2746220', 'contact:housenumber': '7', 'contact:street': 'Place du Capitole', 'internet_access': 'wlan', 'name': 'Crowne Plaza', 'opening_hours': '24/7', 'ref:FR:SIRET': '33895581800020', 'stars': '4', 'tourism': 'hotel', 'website': 'https://www.crowne-plaza-toulouse.com/'}",2026-04-02T07:42:46.484651+00:00,4.0,0.146,39.708,2
city_toulouse,Toulouse,osm_way_36707025,Hôtel du Grand Balcon,43.6049303,1.4423459,FR,OpenStreetMap,,,4.0,,,EUR,0.161,way,36707025,"{'building': 'yes', 'building:levels': '5', 'contact:housenumber': '8', 'contact:street': 'Rue Jean-Antoine Romiguières', 'contact:website': 'http://www.grandbalconhotel.com', 'heritage': '3', 'heritage:operator': 'mhs', 'historic': 'building', 'internet_access': 'wlan', 'internet_access:fee': 'no', 'mhs:inscription_date': '1999-01-25', 'name': 'Hôtel du Grand Balcon', 'phone': '+33 5 34 25 44 09', 'ref:FR:SIRET': '42215990500021', 'ref:mhs': 'PA31000041', 'smoking': 'yes', 'source': 'cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009', 'source:heritage': 'Ministère de la Culture - 06/2019', 'stars': '4', 'tourism': 'hotel', 'wikidata': 'Q3146284'}",2026-04-02T07:42:46.486584+00:00,4.0,0.161,39.678,3
city_lyon,Lyon,osm_node_6970262279,Globe et Cecil hôtel,45.7588903,4.8334514,FR,OpenStreetMap,,,4.0,,,EUR,0.164,node,6970262279,"{'addr:city': 'Lyon', 'addr:housenumber': '21', 'addr:postcode': '69002', 'addr:street': 'Rue Gasparin', 'check_date': '2025-09-05', 'name': 'Globe et Cecil hôtel', 'phone': '+33 4 78 42 58 95', 'ref:FR:SIRET': '41236110700011', 'rooms': '59', 'stars': '4', 'tourism': 'hotel', 'website': 'https://globeetcecilhotel.com/en/'}",2026-04-02T07:39:22.149551+00:00,4.0,0.164,39.672,1
